"","title","doi","arxiv_id","ads_id","altmetric_jid","issns","journal","context.all.count","context.all.mean","context.all.rank","context.all.pct","context.all.higher_than","context.journal.count","context.journal.mean","context.journal.rank","context.journal.pct","context.journal.higher_than","context.similar_age_3m.count","context.similar_age_3m.mean","context.similar_age_3m.rank","context.similar_age_3m.pct","context.similar_age_3m.higher_than","context.similar_age_journal_3m.count","context.similar_age_journal_3m.mean","context.similar_age_journal_3m.rank","context.similar_age_journal_3m.pct","context.similar_age_journal_3m.higher_than","type","altmetric_id","cited_by_gplus_count","cited_by_fbwalls_count","cited_by_posts_count","cited_by_tweeters_count","cited_by_accounts_count","cited_by_feeds_count","cited_by_rdts_count","cited_by_msm_count","cited_by_delicious_count","cited_by_forum_count","cited_by_qs_count","cited_by_rh_count","cited_by_wikipedia_count","score","citeulike","mendeley","connotea","url","added_on","published_on","subjects","scopus_subjects","last_updated","readers_count","details_url","pmid","abstract","abstract_source","pmc","cited_by_pinners_count","cited_by_videos_count","schema","is_oa","cited_by_posts_count.1","cited_by_tweeters_count.1","cited_by_accounts_count.1","cited_by_wikipedia_count.1","cited_by_weibo_count","cited_by_policies_count","isbns"
"11","Analysis of the structure of complex networks at different resolution levels","10.1088/1367-2630/10/5/053039","physics/0703218","2008NJPh...10e3039A","4f6fa50e3cf058f6100031c9","1367-2630,","New Journal of Physics","3631967","4.9253635474614","816050","63","2293657","222609","2.7546478473372","29566","80","179886","95826","8.2534166657972","25028","72","69708","2","1","1","50","1","article","3569784",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,"6","148","0","http://dx.doi.org/10.1088/1367-2630/10/5/053039",1423794515,1212019200,",","Physics and Astronomy, Physical Sciences, ",1287042832,154,"http://www.altmetric.com/details.php?citation_id=3569784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Maps of random walks on complex networks reveal community structure.","10.1073/pnas.0706851105","0707.0609","2008PNAS..105.1118R","4f6fa5133cf058f6100033a0","1091-6490,","Proceedings of the National Academy of Sciences of the United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,21,11,19,6,NA,NA,NA,NA,NA,NA,1,54.57,"59","819","4","http://dx.doi.org/10.1073/pnas.0706851105",1352208392,1199145600,"science,","General, ",1447237022,850,"http://www.altmetric.com/details.php?citation_id=1046108","18216267","To comprehend the multipartite organization of large-scale biological and social systems, we introduce an information theoretic approach that reveals community structure in weighted and directed networks. We use the probability flow of random walks on a network as a proxy for information flows in the real system and decompose the network into modules by compressing a description of the probability flow. The result is a map that both simplifies and highlights the regularities in the structure and their relationships. We illustrate the method by making a map of scientific communication as captured in the citation patterns of >6,000 journals. We discover a multicentric organization with fields that vary dramatically in size and degree of integration into the network of science. Along the backbone of the network-including physics, chemistry, molecular biology, and medicine-information flows bidirectionally, but the map reveals a directional pattern of citation from the applied fields to the basic sciences.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","How to become a superhero","10.1088/1742-5468/2007/09/p09020","0708.2410","2007JSMTE..09...20G","4f6fa62a3cf058f610007e61",",","Journal of Statistical Mechanics: Theory and Experiment","4505550","5.102354651723","99936","97","4405606","256","2.4176235294118","2","99","254","3441046","5.7282617868331","89830","97","3351164","243","2.3514214876033","2","99","241","article","120350",NA,1,12,6,10,3,NA,NA,NA,NA,NA,NA,NA,33.95,"0","3","0","http://dx.doi.org/10.1088/1742-5468/2007/09/p09020",NA,1167609600,",","Mathematics, Physics and Astronomy, Social Sciences, Decision Sciences, Physical Sciences, ",1385549260,4,"http://www.altmetric.com/details.php?citation_id=120350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Near linear time algorithm to detect community structures in large-scale
  networks","10.1103/physreve.76.036106","0709.2938","2007PhRvE..76c6106R","4f6fa6343cf058f610008518",",","Physical Review E: Statistical, Nonlinear, and Soft Matter Physics","3627218","4.9497513377373","2018456","25","932054","4496","1.6197721913237","1344","56","2531","84927","6.0823047123378","42886","31","27161","9","1.15","4","33","3","article","1243737",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","313","0","http://dx.doi.org/10.1103/physreve.76.036106",1361024153,1167609600,",","Physics and Astronomy, Mathematics, Physical Sciences, ",1361023294,313,"http://www.altmetric.com/details.php?citation_id=1243737",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Googling social interactions: web search engine based social network construction.","10.1371/journal.pone.0011233","0710.3268","2010PLoSO...511233L","4f6fa5313cf058f6100043e3","1932-6203,","PLoS ONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2,4,NA,NA,NA,NA,NA,NA,NA,1,4,"7","66","0","http://dx.doi.org/10.1371/journal.pone.0011233",1343245090,1262304000,"medicine,science,","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1420358432,57,"http://www.altmetric.com/details.php?citation_id=856511","20657762","Social network analysis has long been an untiring topic of sociology. However, until the era of information technology, the availability of data, mainly collected by the traditional method of personal survey, was highly limited and prevented large-scale analysis. Recently, the exploding amount of automatically generated data has completely changed the pattern of research. For instance, the enormous amount of data from so-called high-throughput biological experiments has introduced a systematic or network viewpoint to traditional biology. Then, is ""high-throughput"" sociological data generation possible? Google, which has become one of the most influential symbols of the new Internet paradigm within the last ten years, might provide torrents of data sources for such study in this (now and forthcoming) digital era. We investigate social networks between people by extracting information on the Web and introduce new tools of analysis of such networks in the context of statistical physics of complex systems or socio-physics. As a concrete and illustrative example, the members of the 109th United States Senate are analyzed and it is demonstrated that the methods of construction and analysis are applicable to various other weighted networks.","pubmed",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Entropy rate of diffusion processes on complex networks","10.1103/physreve.78.065102","0712.0278","2008PhRvE..78f5102G","4f6fa6343cf058f610008518","1539-3755,1550-2376,","Physical Review E: Statistical, Nonlinear, and Soft Matter Physics","4534060","5.2893790400115","1045553","64","2921350","5176","1.7938554589372","536","84","4374","161129","8.8731636959438","47301","69","111843","31","5.4177333333333","10","67","21","article","3678507",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,"0","61","0","http://dx.doi.org/10.1103/physreve.78.065102",1424030903,NA,"physiology,statisticsastopic,biophysics,","Physics and Astronomy, Mathematics, Physical Sciences, ",1416586431,61,"http://www.altmetric.com/details.php?citation_id=3678507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Robust dynamic classes revealed by measuring the response function of a social system","10.1073/pnas.0803685105","0803.2189","2008PNAS..10515649C","4f6fa5133cf058f6100033a0","1091-6490,","Proceedings of the National Academy of Sciences of the United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,1,NA,NA,NA,NA,NA,NA,NA,10.5,"22","218","3","http://dx.doi.org/10.1073/pnas.0803685105",NA,1223942400,"science,","General, ",1419858000,243,"http://www.altmetric.com/details.php?citation_id=104806","18824681","We study the relaxation response of a social system after endogenous and exogenous bursts of activity using the time series of daily views for nearly 5 million videos on YouTube. We find that most activity can be described accurately as a Poisson process. However, we also find hundreds of thousands of examples in which a burst of activity is followed by an ubiquitous power-law relaxation governing the timing of views. We find that these relaxation exponents cluster into three distinct classes and allow for the classification of collective human dynamics. This is consistent with an epidemic model on a social network containing two ingredients: a power-law distribution of waiting times between cause and action and an epidemic cascade of actions becoming the cause of future actions. This model is a conceptual extension of the fluctuation-dissipation theorem to social systems [Ruelle, D (2004) Phys Today 57:48-53] and [Roehner BM, et al., (2004) Int J Mod Phys C 15:809-834], and provides a unique framework for the investigation of timing in complex systems.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Creative elements: network-based predictions of active centres in proteins and cellular and social networks.","10.1016/j.tibs.2008.09.006",NA,NA,"4f6fa5153cf058f6100036a4","0968-0004,","Trends in Biochemical Sciences","3685758","4.9523304688866","558587","84","3126702","925","3.3260519480519","74","91","849","229321","3.8981811529741","32089","85","197211","5","2.402","1","80","4","article",NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,5.368,"12","86","1","http://dx.doi.org/10.1016/j.tibs.2008.09.006",1323693103,1228089600,"biochemistry,","Life Sciences, Biochemistry, Genetics and Molecular Biology, ",1323679260,95,"http://www.altmetric.com/details.php?citation_id=489367","18945619","Active centres and hot spots of proteins have a paramount importance in enzyme action, protein-complex formation and drug design. Recently, several publications successfully applied the analysis of residue networks to predict active centres in proteins. Most real-world networks show several properties, such as small-worldness or scale-free degree distribution, which are rather general features of networks, from molecules to society at large. Using analogy, I propose that existing findings and methodology already enable us to detect active centres in cells and can be expanded to social networks and ecosystems. Members of these active centres are termed here as 'creative elements' of their respective networks, which can help them to survive unprecedented, novel challenges and play a key part in the development, survival and evolvability of complex systems.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Towards real-time community detection in large networks","10.1103/physreve.79.066107","0808.2633","2009PhRvE..79f6107L","arxiv",",","arXiv","4507953","5.1586375230457","2281278","36","1648877","5151","1.7271363106796","1562","58","3025","139714","9.4103589358187","73072","36","51185","25","6.4596666666667","16","36","9","article","3705672",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","19","0","http://dx.doi.org/10.1103/physreve.79.066107",1424163573,NA,",",", ",1424163559,19,"http://www.altmetric.com/details.php?citation_id=3705672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","A Principal Component Analysis of 39 Scientific Impact Measures","10.1371/journal.pone.0006022","0902.2183","2009PLoSO...4.6022B","4f6fa5313cf058f6100043e3","1932-6203,","PLoS ONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,292,249,270,11,NA,NA,NA,NA,NA,NA,2,265.114,"90","770","2","http://dx.doi.org/10.1371/journal.pone.0006022",NA,1246233600,"medicine,science,","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1434581767,862,"http://www.altmetric.com/details.php?citation_id=110677","19562078","The impact of scientific publications has traditionally been expressed in terms of citation counts. However, scientific activity has moved online over the past decade. To better capture scientific impact in the digital era, a variety of new impact measures has been proposed on the basis of social network analysis and usage log data. Here we investigate how these new measures relate to each other, and how accurately and completely they express scientific impact.",NA,"PMC2699100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Analysis of a threshold model of social contagion on degree-correlated networks","10.1103/physreve.79.066115",NA,"2009PhRvE..79f6115D","4f6fa6343cf058f610008518","1539-3755,1550-2376,","Physical Review E: Statistical, Nonlinear, and Soft Matter Physics","4522755","5.2848280542506","1042574","64","2913839","5168","1.7955877685311","532","84","4368","160658","8.8724770038034","47143","69","111541","31","5.4177333333333","10","67","21","article","3678402",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,"0","40","0","http://dx.doi.org/10.1103/physreve.79.066115",1424030673,1243814400,"physiology,statisticsastopic,biophysics,","Physics and Astronomy, Mathematics, Physical Sciences, ",1416272561,40,"http://www.altmetric.com/details.php?citation_id=3678402",NA,NA,NA,NA,NA,NA,"1.5.4",NA,NA,NA,NA,NA,NA,NA,NA
"22","Link communities reveal multiscale complexity in networks","10.1038/nature09182","0903.3178","2010Natur.466..761A","4f6fa50a3cf058f610003160",",","Nature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,7.35,"60","965","4","http://dx.doi.org/10.1038/nature09182",1352205066,1262304000,",","General, ",1385986304,1029,"http://www.altmetric.com/details.php?citation_id=1045365","20562860","Networks have become a key approach to understanding systems of interacting objects, unifying the study of diverse phenomena including biological organisms and human society. One crucial step when studying the structure and dynamics of networks is to identify communities: groups of related nodes that correspond to functional subunits such as protein complexes or social spheres. Communities in networks often overlap such that nodes simultaneously belong to several groups. Meanwhile, many networks are known to possess hierarchical organization, where communities are recursively grouped into a hierarchical structure. However, the fact that many real networks have communities with pervasive overlap, where each and every node belongs to more than one group, has the consequence that a global hierarchy of nodes cannot capture the relationships between overlapping groups. Here we reinvent communities as groups of links rather than nodes and show that this unorthodox approach successfully reconciles the antagonistic organizing principles of overlapping communities and hierarchy. In contrast to the existing literature, which has entirely focused on grouping nodes, link communities naturally incorporate overlap while revealing hierarchical organization. We find relevant link communities in many networks, including major biological networks such as protein-protein interaction and metabolic networks, and show that a large social network contains hierarchically organized community structures spanning inner-city to regional scales while maintaining pervasive overlap. Our results imply that link communities are fundamental building blocks that reveal overlap and hierarchical organization in networks to be two aspects of the same phenomenon.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Dynamics of hate based networks","10.1140/epjb/e2010-00039-0","0905.3751","2010EPJB...73..633S","arxiv",",","arXiv","3636227","4.9205935445202","1531408","55","2005761","222902","2.7511368724233","64436","56","125864","60559","4.3126482380527","17188","69","42181","6","4.4128","5","16","1","article","257766",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"6","30","0","http://dx.doi.org/10.1140/epjb/e2010-00039-0",1315664113,1230768000,",",", ",1,36,"http://www.altmetric.com/details.php?citation_id=257766",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Small-world behavior in time-varying graphs","10.1103/physreve.81.055101","0909.1712","2010PhRvE..81e5101T","4f6fa6343cf058f610008518","1539-3755,1550-2376,","Physical Review E: Statistical, Nonlinear, and Soft Matter Physics","3629407","4.9349111287126","2016241","25","939360","4505","1.6063277087034","1341","56","2547","225893","3.8919341809363","97019","39","89514","851","0.97345411764706","179","69","589","article","461613",NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","148","0","http://dx.doi.org/10.1103/physreve.81.055101",1321681200,1272672000,"physiology,statisticsastopic,biophysics,","Physics and Astronomy, Mathematics, Physical Sciences, ",1321930324,148,"http://www.altmetric.com/details.php?citation_id=461613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Scaling laws of human interaction activity","10.1073/pnas.0902667106","0909.2006","2009PNAS..10612640R","4f6fa5133cf058f6100033a0","1091-6490,","Proceedings of the National Academy of Sciences of the United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"11","151","0","http://dx.doi.org/10.1073/pnas.0902667106",1422719154,NA,"science,","General, ",1317831770,162,"http://www.altmetric.com/details.php?citation_id=3202759","19617555","Even though people in our contemporary technological society are depending on communication, our understanding of the underlying laws of human communicational behavior continues to be poorly understood. Here we investigate the communication patterns in 2 social Internet communities in search of statistical laws in human interaction activity. This research reveals that human communication networks dynamically follow scaling laws that may also explain the observed trends in economic growth. Specifically, we identify a generalized version of Gibrat's law of social activity expressed as a scaling law between the fluctuations in the number of messages sent by members and their level of activity. Gibrat's law has been essential in understanding economic growth patterns, yet without an underlying general principle for its origin. We attribute this scaling law to long-term correlation patterns in human activity, which surprisingly span from days to the entire period of the available data of more than 1 year. Further, we provide a mathematical framework that relates the generalized version of Gibrat's law to the long-term correlated dynamics, which suggests that the same underlying mechanism could be the source of Gibrat's law in economics, ranging from large firms, research and development expenditures, gross domestic product of countries, to city population growth. These findings are also of importance for designing communication networks and for the understanding of the dynamics of social systems in which communication plays a role, such as economic markets and political systems.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Making Friends in Life and Online: Equivalence, Micro-Correlation and Value in Spatial and Transpatial Social Networks","10.1109/socialcom.2010.181",NA,NA,NA,",",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"article","1246527",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","10","0","http://dx.doi.org/10.1109/socialcom.2010.181",1361195505,1262304000,",",", ",1361195475,10,"http://www.altmetric.com/details.php?citation_id=1246527",NA,NA,NA,NA,NA,NA,"1.5.4","FALSE",1,1,1,NA,NA,NA,NA
